titleRestaurant,adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,average_price,price_min
Midpoint,"Büyükdere Cad. Kanyon Alışveriş Merkezi No:185 K:1 D:164C-165 Levent, Beşiktaş, İstanbul Türkiye,İnternet sitesi",Uluslararası,"Öğle Yemeği, Akşam Yemeği",21,3530770,,4.0,"Rezervasyonlar, Oturma, Masaya Servis",390.0,390.0
Inkase,"DrFaruk Ayanoglu Cd Fenerbahce Mh, İstanbul 34726 Türkiye,İnternet sitesi,Menü","Vejetaryen Dostu,Vegan Seçenekleri,Glütensiz Seçenekler","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",15,+90 216 356 19 07,177-567,4.0,"Kahvaltı, Brunch, Öğle Yemeği, Akşam Yemeği, İçecekler",372.0,372.0
Adem Baba,"Beyazgül Cad. No: 2 Arnavutköy, İstanbul Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",189,+90 212 263 29 33,213-496,4.0,"Öğle Yemeği, Akşam Yemeği",354.5,354.5
Günaydın Kebap Restaurant,"Postahane Mah. ManastIr Yolu No: 24 Tuzla, İstanbul 34940 Türkiye,İnternet sitesi","Biftek Restoranı,Barbekü,Türk","Biftek Restoranı, Türk, Barbekü, Ortadoğu",51,+90 212 447 47 94,177-532,4.0,"Öğle Yemeği, Akşam Yemeği",354.5,354.5
Özgür Şef'in Deli Kasap,"Hocapaşa Mh. Hocapaşa Sk. No:6/A, İstanbul 34110 Türkiye,İnternet sitesi",Biftek Restoranı,Biftek Restoranı,46,+90 212 514 01 02,142-567,4.0,"Akşam Yemeği, Öğle Yemeği",354.5,354.5
Perispri Balat,"Doktor Sadık Ahmet caddesi no:10 Fener/Fatih Troya Otel yanı, İstanbul Türkiye,İnternet sitesi","Vejetaryen Dostu,Vegan Seçenekleri","Vejetaryen Dostu, Vegan Seçenekleri",33,+90 212 521 54 43,262-418,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",340.0,340.0
Kiva Bomonti,"Birahane Sokak No:1/A Tarihi Bomonti Bira Fabrikasi Bomontiada, İstanbul 34380 Türkiye,İnternet sitesi,Menü","Türk,Sağlıklı,Vejetaryen Dostu","Türk, Sağlıklı",64,+90 212 296 20 08,106-567,4.0,"Vejetaryen Dostu, Vegan Seçenekleri",336.5,336.5
Astral Fish House,"Kuloğlu Mh., istiklal cad, Turnacıbaşı Cd. No 2, İstanbul 34435 Türkiye,İnternet sitesi","Biftek Restoranı,Deniz Mahsülleri,Avrupa","Deniz Mahsülleri, Avrupa, Türk, Biftek Restoranı",58,+90 212 293 19 02,106-532,4.0,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",319.0,319.0
La Torre Restaurant,"Cengiz Topel Cad. No 39 Etiler, İstanbul 34337 Türkiye,İnternet sitesi,Menü","Uluslararası,Akdeniz,Türk","Türk, Uluslararası, Akdeniz",270,+90 212 384 00 00,177-447,4.0,Helal,312.0,312.0
Borsa Restaurant,"Şehit Muhtar Mahallesi, İstiklal Caddesi No: 14 Beyoğlu, İstanbul Türkiye,İnternet sitesi","Türk,Helal",Helal,67,+90 212 292 40 71,,4.0,"Öğle Yemeği, Akşam Yemeği",312.0,312.0
Dönerci Ali Usta,"Zafer Mah. Dumlupınar Cad. No: 44/A Şirinevler, E5 Yan Yol, İstanbul 34197 Türkiye,İnternet sitesi,Menü",Türk,Türk,182,+90 444 1 254,149-461,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",305.0,305.0
Chez Moi,"Kemankeş Karamustafa Paşa Mahallesi, Mumhane Caddesi No: 36 Beyoğlu, İstanbul 34425 Türkiye,İnternet sitesi,Menü","Fransız,Bar,Uluslararası",Vejetaryen Dostu,26,+90 549 600 35 36,,4.0,"Öğle Yemeği, Akşam Yemeği, Kahvaltı, Gece Eğlencesi, İçecekler",305.0,305.0
Kalikratya Balik Restaurant,"Mimarsinan Mahallesi Iskele Caddesi No:31, İstanbul 34535 Türkiye,İnternet sitesi",no input,"Akşam Yemeği, Öğle Yemeği, Gece Eğlencesi, İçecekler",152,+90 212 883 04 55,248-355,4.0,"Rezervasyonlar, Açık Havada Oturma, Açık Büfe, Özel Yemek, Oturma, Otopark Var, Cadde Üzerinde Park, Vale Otopark, Ücretsiz Yol Üstü Olmayan Park Yeri, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, Alkol Var, Tüm İçkiler, Şarap ve Bira, Dijital Ödemeler, Ücretsiz Wifi, Kredi Kartı Geçerli",301.5,301.5
Kalamış Cundalı Ayvalık Balıkçısı,"Munir Nuretin Selcuk Cad. No 62 Kalamis Kadıköy, İstanbul 34200 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",81,+90 216 550 97 97,213-355,4.0,Vejetaryen Dostu,284.0,284.0
Adanalı Yusuf Usta,"Ambarlı Dolum Tesisleri Yolu No: 14 Avcılar, Zorlu Holding Karşısı, Mudo Outlet Yanı, İstanbul 34522 Türkiye,İnternet sitesi",Türk,"Öğle Yemeği, Akşam Yemeği",62,+90 212 422 89 54,,4.0,Rezervasyonlar,284.0,284.0
Fauna,"Kucukbakkalkoy Mah. Isiklar Cad. Ahmet Muhip Dranas Sok. No:9/B Atasehir, İstanbul Türkiye,İnternet sitesi","İtalyan,Akdeniz","Öğle Yemeği, Akşam Yemeği",47,+90 216 572 11 30,,4.0,Masaya Servis,284.0,284.0
Doy Doy Restaurant,"Şifa Hamamı Sok. No: 13 Sultanahmet, İstanbul Türkiye,İnternet sitesi","Akdeniz,Türk,Ortadoğu","Vejetaryen Dostu, Vegan Seçenekleri, Helal",922,+90 212 517 15 88,,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",283.5,283.5
Banyan,"Muallim Naci Cad. Salhane Sok. No: 3 Beşiktaş, Ortaköy İskele Yanı, İstanbul Türkiye,İnternet sitesi,Menü","Asya,Füzyon,Vejetaryen Dostu","Asya, Füzyon",422,+90 534 275 28 01,177-390,4.0,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",283.5,283.5
Çeşme Bazlama Kahvaltı,"Osman Fahir Seden Sokak No: 8/B Teşvikiye Mahallesi, İstanbul 34365 Türkiye,İnternet sitesi,Menü","Akdeniz,Türk,Sağlıklı","Vejetaryen Dostu, Vegan Seçenekleri, Helal",303,+90 541 229 52 62,,4.0,"Kahvaltı, Brunch",283.5,283.5
Antica Locanda,"Satış Meydani No: 12 Arnavutköy, Beşiktaş, İstanbul Türkiye,İnternet sitesi,Menü","İtalyan,Avrupa,Vejetaryen Dostu",Vejetaryen Dostu,74,+90 212 287 97 45,,4.0,"Akşam Yemeği, Öğle Yemeği",283.5,283.5
Kuzubeyi Kuzu Çevirme,"Ziya Gökalp Mahallesi, Atatürk Blv. No: 62 İkitelli OSB, Başakşehir, İstanbul Türkiye,İnternet sitesi","Biftek Restoranı,Türk","Türk, Biftek Restoranı",42,+90 444 6 719,106-454,4.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",280.0,280.0
Tarihi Çınaraltı,"Çengelköy Cad. Çınarlı Camii Sok. No:4 Cengelkoy, İstanbul 34680 Türkiye,İnternet sitesi,Menü","Kafe,Türk,Vejetaryen Dostu","Vejetaryen Dostu, Helal",207,+90 216 422 10 36,,4.0,"Kahvaltı, Öğle Yemeği, Brunch, Gece Eğlencesi, İçecekler",276.5,276.5
Ma'Na Karakoy,"kemankes Caddesi Karakoy, İstanbul Türkiye,İnternet sitesi,Menü","Akdeniz,Türk,Vejetaryen Dostu","Akdeniz, Türk",155,+90 212 293 09 93,213-340,4.0,"Vejetaryen Dostu, Helal",276.5,276.5
Hak Evrensel Hatay Sofrası,"Şenlikköy Mah. Yeşilköy Halkalı Cad. Florya Bakırköy, Aqua AVM Yanı, İstanbul 34153 Türkiye,İnternet sitesi,Menü","Türk,Ortadoğu,Vegan Seçenekleri","Türk, Ortadoğu",103,+90 212 663 07 00,50-500,4.0,"Helal, Vegan Seçenekleri",275.0,275.0
Çatana Balık Restaurant,"Bostancı Mahallesi, Çetin Emeç Blv. No: 38 Kadıköy, İstanbul Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Akşam Yemeği, Öğle Yemeği, Gece Eğlencesi",69,+90 216 416 16 83,,4.0,"Rezervasyonlar, Oturma, Alkol Var, Masaya Servis, Açık Havada Oturma",275.0,275.0
Tahin,"Rumelihisarı Mahallesi, Hisarüstü Nispetiye Cad. No: 69/A Sarıyer, İstanbul Türkiye,İnternet sitesi,Menü","Lübnan,Akdeniz,Ortadoğu","Vejetaryen Dostu, Vegan Seçenekleri, Helal",57,+90 212 263 49 11,,4.0,"Öğle Yemeği, Akşam Yemeği",275.0,275.0
Gölköy Restaurant,"Karaağaç Köyü Dostluk Caddesi Büyükçekmece Karaağaç Köyü, Köy Yolu Üzeri, İstanbul 34900 Türkiye,İnternet sitesi","Türk,Mangal","Türk, Mangal",6,+90 533 965 65 25,50-500,4.0,"Öğle Yemeği, Akşam Yemeği",275.0,275.0
Sandzak Balkan Mutfağı,"Viaport Marina 20C D:68 Tuzla Via Port Marina, İstanbul 34940 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Deniz Mahsülleri","Biftek Restoranı, Deniz Mahsülleri",38,+90 216 504 28 24,111-425,4.0,"Rezervasyonlar, Tekerlekli Sandalye İle Erişim, Masaya Servis",268.0,268.0
Leb-i Derya,"Kumbaracı Yokuşu 115/7 Tünel Beyoğlu, İstanbul Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Çağdaş",701,+90 212 293 49 89,213-319,4.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",266.0,266.0
Bab-ı Hayat Restaurant,"Rüstem Paşa Mh. Yeni Cami Caddesi No: 47 Fatih, İstanbul 34116 Türkiye,İnternet sitesi","Barbekü,Türk,Bar",Vejetaryen Dostu,85,+90 535 731 30 07,,4.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",265.5,265.5
Sofram Balik Restaurant,"Kadir Has Cd Liman YanI No:10, Selimpasa-Silivri, İstanbul 34590 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",80,+90 212 731 69 67,106-425,4.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",265.5,265.5
Otantik Anadolu Yemekleri,"Hüseyin Ağa Mah. İstiklal Cad. No:80/A Tarlabaşı, Beyoğlu, İstanbul Türkiye,İnternet sitesi","Türk,Ortadoğu","Akşam Yemeği, Öğle Yemeği",76,2938451,,4.0,"Rezervasyonlar, Alkol Var, Oturma, Masaya Servis",265.5,265.5
360 İstanbul,"İstiklal Caddesi No: 163/8 Beyoğlu, Misir Apt., İstanbul 34330 Türkiye,İnternet sitesi,Menü","Uluslararası,Akdeniz,Avrupa","Uluslararası, Akdeniz, Avrupa, Türk, Füzyon",3258,+90 212 251 10 42,130-400,4.0,"Vejetaryen Dostu, Vegan Seçenekleri",265.0,265.0
Midpoint,"Bağdat Cad. No: 354 Şaşkınbakkal, İstanbul Türkiye,İnternet sitesi","Bar,Avrupa,Türk","Bar, Avrupa, Türk, Mangal",39,+90 216 360 40 71,99-411,4.0,Vejetaryen Dostu,255.0,255.0
Feraye Restaurant & Bar,"Asmalımescit M Asmalımescit Sk. Asmalı Han No:19/A Nişantaşı, İstanbul Türkiye,İnternet sitesi",Türk,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",27,+90 212 292 30 11,,4.0,"Rezervasyonlar, Masaya Servis, Canlı Müzik",255.0,255.0
O Maestros,"Bebek Arnavutköy caddesi no.73 Arnavutköy/ Besiktas, İstanbul 34345 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Akdeniz, Deniz Mahsülleri, Türk, Yunan",26,+90 212 287 49 61,170-340,4.0,"Öğle Yemeği, Akşam Yemeği",255.0,255.0
Otantik Anadolu Yemekleri,"Istiklal Cad No 170 Beyoglou, İstanbul Türkiye,İnternet sitesi","Türk,Ortadoğu,Vejetaryen Dostu","Vejetaryen Dostu, Helal",893,2169264,,4.0,"Öğle Yemeği, Akşam Yemeği, Brunch, Kahvaltı, Gece Eğlencesi",250.0,250.0
Galata Evi,"Bereketzade Mahallesi, Galata Kulesi Sok. No: 15 Beyoğlu, İstanbul Türkiye,İnternet sitesi","Avrupa,Türk,Rus","Rus, Avrupa, Türk",200,+90 212 245 18 61,213-284,4.0,Vejetaryen Dostu,248.5,248.5
By Esat,"Fenerbahçe Mah. Münir Nurettin Selçuk Cad. No: 43 Kadıköy, Kalamış, İstanbul Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Türk, Akdeniz, Çorbalar",115,+90 216 338 59 59,142-355,4.0,"Öğle Yemeği, Akşam Yemeği",248.5,248.5
Özgür Şef,"BANKALAR CADDESİ NO 2 KARAKOY BEYOĞLU, İstanbul 34349 Türkiye,İnternet sitesi",Biftek Restoranı,Biftek Restoranı,44,+90 216 688 43 43,142-355,4.0,Akşam Yemeği,248.5,248.5
Amara Old City Cafe & Restaurant,"Alemdar Fatih, İstanbul 34110 Türkiye,İnternet sitesi",Türk,"Öğle Yemeği, Akşam Yemeği",38,+90 537 963 95 51,,4.0,"Rezervasyonlar, Masaya Servis, Oturma",248.5,248.5
Vagabondo's Ristorante & Pizzeria,"Köybaşı Cad No: 278 Yeniköy, İstanbul 34464 Türkiye,İnternet sitesi,Menü","İtalyan,Pizza,Akdeniz","İtalyan, Pizza, Akdeniz, Avrupa",73,+90 212 299 00 54,177-319,4.0,Vejetaryen Dostu,248.0,248.0
Nello’s Istanbul,"Noter Sk. 16 Caddebostan mahallesi, İstanbul 34728 Türkiye,İnternet sitesi","İtalyan,Vejetaryen Dostu",Vejetaryen Dostu,49,+90 216 356 23 53,,4.0,"Akşam Yemeği, Öğle Yemeği, Gece Eğlencesi, İçecekler",248.0,248.0
Wineport Lodge Ağva,"Dolmabahçe Caddesi No 48, İstanbul 34990 Türkiye,İnternet sitesi,Menü",Türk,Türk,259,+90 216 725 75 25,30-450,4.0,"İçecekler, Kahvaltı, Öğle Yemeği, Akşam Yemeği",240.0,240.0
Sohbet Ocakbaşı Restaurant,"Mis Sok. No:3 D:5 Taksim, İstanbul Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Barbekü,Türk",Helal,23,+90 532 575 86 03,,4.0,"Öğle Yemeği, Akşam Yemeği",240.0,240.0
Neolokal,"Salt Galata  Bankalar Caddesi No 11 Karakoy 34420 Inside Salt Galata Building, İstanbul 34420 Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Çağdaş",349,+90 212 244 00 16,120-350,4.0,"Vejetaryen Dostu, Vegan Seçenekleri",235.0,235.0
Rumeli Hisarı İskele Restaurant,"Yahya Kemal Cadddesi No: 1 Sarıyer, Rumeli Hisarı, İstanbul 34470 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",193,+90 212 263 29 97,,4.0,"Rezervasyonlar, Açık Havada Oturma, Oturma, Otopark Var, Vale Otopark, Tekerlekli Sandalye İle Erişim, Alkol Var, Masaya Servis, Bebek Sandalyesi Var, Tüm İçkiler",234.0,234.0
Happy Moon's Cafe ve Restaurant,"Bagdat Cad. Noter Cikmazi Sok. Meltem Apt. No:9/A, İstanbul Türkiye,İnternet sitesi","Bar,Avrupa,Vejetaryen Dostu","Vejetaryen Dostu, Vegan Seçenekleri",186,+90 216 411 40 86,,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",234.0,234.0
Köşebaşı Taksim,"Kocatepe Mah. Topçu Sok. No:16, İstanbul 34437 Türkiye,İnternet sitesi,Menü","Akdeniz,Türk,Helal","Akdeniz, Türk",118,+90 212 361 59 00,128-340,4.0,Helal,234.0,234.0
Onur Balaban,"Kaya Sultan Sk. No:44 Kozyatağı Mh., İstanbul 34736 Türkiye,İnternet sitesi,Menü","Türk,Lokanta,Ortadoğu","Türk, Lokanta, Ortadoğu, Arap",12,+90 216 356 17 47,43-425,4.0,"Öğle Yemeği, Akşam Yemeği",234.0,234.0
Foxy Local & Real,"Hacımimi, Necatibey Cd. No: 91, İstanbul 34425 Türkiye,İnternet sitesi,Menü",Şarap Barı,Şarap Barı,2,+90 531 424 38 91,106-355,4.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",230.5,230.5
Kubban Gaziantep Mutfağı,"Bağlar Mah. Kocman Cad. Gamsiz Sok. No:2/B Güneşli, Bağcılar, İstanbul Türkiye,İnternet sitesi,Menü","Barbekü,Türk,Ortadoğu",Helal,69,+90 212 651 81 61,,4.0,"Öğle Yemeği, Akşam Yemeği, Kahvaltı, Brunch, İçecekler",227.5,227.5
Alice Pub Cafe,"Kucukayasofya Mah. Kaleci Sok. No:14 Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi,Menü","İtalyan,Türk","İtalyan, Türk",126,+90 212 516 25 16,26-425,4.0,"Kahvaltı, İçecekler",225.5,225.5
Yüksel Balık,"Yat Limanı Cad. No:2 Bakırköy Yeşilköy, İstanbul Türkiye,İnternet sitesi,Menü",Deniz Mahsülleri,Akşam Yemeği,14,5733443,,4.0,"Rezervasyonlar, Masaya Servis",225.5,225.5
Hanımeli Balık Restaurant,"Karaburun Mahallesi, Liman Caddesi, İstanbul Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Türk","Öğle Yemeği, Akşam Yemeği, Kahvaltı",57,+90 212 762 29 89,,4.0,"Rezervasyonlar, Otopark Var, Alkol Var, Masaya Servis, Oturma",225.0,225.0
Symbol Cafe&Rest,"Ayhan Işık Sok. No:23 İstiklal, Beyoğlu, İstanbul Türkiye,İnternet sitesi,Menü","İtalyan,Bar,Kafe","Akşam Yemeği, Kahvaltı, Öğle Yemeği, Brunch, İçecekler",32,+90 212 292 53 54,,4.0,"Oturma, Rezervasyonlar, Açık Havada Oturma, Masaya Servis",225.0,225.0
Türkçe Meze Kubbe,"Sütlüce, İmrahor Cd. No 30, İstanbul 34445 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Uluslararası,Akdeniz","Uluslararası, Akdeniz, Türk, Deniz Mahsülleri, Lokanta",27,+90 212 244 77 77,125-325,4.0,"Kahvaltı, Akşam Yemeği, İçecekler",225.0,225.0
Beşiktaş Barbaros Balıkçısı,"Cihannüma Mahallesi, Salihefendi Sk. No: 6 Beşiktaş, İstanbul 34330 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Türk, Akdeniz",23,+90 212 258 18 80,150-300,4.0,Helal,225.0,225.0
Karakoy Lokantasi,"Kemankes Cad. 37/A Karaköy, İstanbul 34425 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",1206,+90 212 252 54 22,177-269,4.0,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",223.0,223.0
Delicatessen,"Mim Kemal Öke Cad.19/1, Nisantasi, İstanbul Türkiye,İnternet sitesi,Menü","Avrupa,Türk,Şarküteri",Vejetaryen Dostu,247,+90 212 225 06 04,,4.0,"Öğle Yemeği, Akşam Yemeği, Kahvaltı, Brunch, Gece Eğlencesi",213.0,213.0
Sushico,"Bagdat Cad. No:466 D:2 Suadiye, Kadikoy, İstanbul Türkiye,İnternet sitesi","Japon,Suşi,Asya","Öğle Yemeği, Akşam Yemeği",26,3727572,,4.0,Rezervasyonlar,213.0,213.0
Seapoint Cafe Restaurant,"Mimar Sinan Mah. Selman Ağa Sokak No: 2/3 Üsküdar, İstanbul Türkiye,İnternet sitesi,Menü","İtalyan,Deniz Mahsülleri,Fast Food","İtalyan, Deniz Mahsülleri, Fast Food",12,+90 216 341 40 44,71-355,4.0,Vejetaryen Dostu,213.0,213.0
TXM People’s Cafe Brasserie,"Sıraselviler Cad. CVK Hotels Taksim No:11 Beyoğlu Taksim, İstanbul Türkiye,İnternet sitesi","Fransız,Uluslararası","Kahvaltı, Öğle Yemeği, Akşam Yemeği",22,2458383,,4.0,"Rezervasyonlar, Oturma, Masaya Servis",212.5,212.5
Şöhret İşkembe Kelle Paça,"Zeytinlik Mahallesi, Yakut Sokak, No:15 Bakirkoy, İstanbul 34140 Türkiye,İnternet sitesi,Menü",Türk,"Öğle Yemeği, Akşam Yemeği",72,+90 212 660 02 94,,4.0,"Dışarı Yemek Servisi, Paket Yemek, Açık Havada Oturma, Otopark Var, Vale Otopark, Ücretsiz Yol Üstü Olmayan Park Yeri, Ücretsiz Wifi, Kredi Kartı Geçerli, Masaya Servis, Aile tarzı, Sigara içilmeyen restoranlar",208.5,208.5
Nargilizade Cafe,"Mimar Kemalettin Mahallesi Ordu Caddesi No 25/A Laleli Fatih Istanbul, İstanbul 34700 Türkiye,İnternet sitesi","İtalyan,Japon,Türk,Vejetaryen Dostu",Vejetaryen Dostu,8,+90 532 293 97 96,,4.0,Rezervasyonlar,201.0,201.0
Cibalikapı Balıkçısı,"Varyap Meridian A Blok Altı Karanfil Sk. Batı Ataşehir/İstanbul Varyap Meridyen sitesi A blok altında., İstanbul 34779 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",13,+90 531 255 45 00,,4.0,"Açık Havada Oturma, Oturma, Otopark Var, Cadde Üzerinde Park, İndirimli Park Hizmeti, Vale Otopark, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, Alkol Var, Şarap ve Bira, Ücretsiz Wifi, Kredi Kartı Geçerli",200.0,200.0
Beppe,"Caferağa Mahallesi, Moda Caddesi, Ferit Tek Sokak No: 60/B Kadıköy, İstanbul Türkiye,İnternet sitesi,Menü","İtalyan,Pizza,Şarap Barı","Vejetaryen Dostu, Vegan Seçenekleri",513,+90 216 550 22 00,,4.0,"Öğle Yemeği, Akşam Yemeği",195.0,195.0
The GALLIARD Brasserie,"Cendere Caddesi No: 109C Ayazağa Mahallesi, Vadi AVM, İstanbul 34396 Türkiye,İnternet sitesi,Menü","İtalyan,Fransız,İspanyol","İtalyan, Fransız, İspanyol",113,+90 444 0 233,106-284,4.0,"Öğle Yemeği, Akşam Yemeği, Kahvaltı, Brunch, Gece Eğlencesi, İçecekler",195.0,195.0
The Hunger Bulvar 216,"Barbaros Mah. Ataşehir Bulvarı, Gelincik Sok. Ataşehir Bulvar 216, İstanbul 34746 Türkiye,İnternet sitesi,Menü","İtalyan,Pizza,Füzyon",Vejetaryen Dostu,102,+90 216 688 80 00,,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",195.0,195.0
Pideban Merkez,"Merkez Mah. Sariyer Deresi Sok. No:19/A Sariyer Merkez, Sariyer, İstanbul 34450 Türkiye,İnternet sitesi",Türk,"Öğle Yemeği, Akşam Yemeği",63,+90 212 242 42 39,,4.0,Dışarı Yemek Servisi,195.0,195.0
Walkin Brasserie,"Aqua Florya Alisveris Merkezi Aqua Florya AVM, Kat 2, Senlikkoy Mahallesi, Yesilkoy Halkali Caddesi, No 93, Florya, Bakirkoy, İstanbul 34153 Türkiye,İnternet sitesi,Menü","Avrupa,Vegan Seçenekleri",Vegan Seçenekleri,41,+90 212 571 29 29,,4.0,"Öğle Yemeği, Akşam Yemeği",195.0,195.0
Pera Müptela Ocakbaşı,"Asmalı Mescit Cd. No:9 Beyoğlu, The Peak Otel Giriş Katı, İstanbul 34430 Türkiye,İnternet sitesi,Menü","Akdeniz,Türk,Doğu Avrupa","Türk, Akdeniz, Doğu Avrupa, Ermeni",29,+90 532 377 37 87,106-284,4.0,"Öğle Yemeği, Akşam Yemeği",195.0,195.0
Safiye Turkish Cuisine,"Sahkulu Mah. Galipdede Cad. Timarci Sok. No:5/B Galata / Beyoglu, İstanbul 34421 Türkiye,İnternet sitesi",Türk,Türk,16,+90 212 297 42 78,106-284,4.0,"Öğle Yemeği, Akşam Yemeği",195.0,195.0
Gürkan Şef,"Etiler Mahallesi, Tanburi Ali Efendi Sk. No: 1 Beşiktaş, İstanbul 34337 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Barbekü,Türk","Türk, Biftek Restoranı, Barbekü, Mangal",16,+90 532 556 20 20,80-300,4.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",190.0,190.0
Karakol Restoran,"Topkapı Sarayı, İstanbul Türkiye,İnternet sitesi","Avrupa,Türk,Ortadoğu","Kahvaltı, Öğle Yemeği, Akşam Yemeği",171,+90 5149494,,4.0,"Açık Havada Oturma, Oturma, Otopark Var, Cadde Üzerinde Park, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, American Express Kabul Ediliyor, Mastercard Kabul Ediliyor, Visa Kabul Ediliyor, Dijital Ödemeler, Ücretsiz Wifi, Rezervasyonlar, Masaya Servis, Kredi Kartı Geçerli",188.0,188.0
Atesbey  Iskender Kebap,"Dr. Faruk Ayanoğlu Cad. No: 13 Kadıköy, Feneryolu, İstanbul 34726 Türkiye,İnternet sitesi",Türk,Türk,59,+90 216 414 20 25,57-319,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",188.0,188.0
Mahkeme Lokantası,"Arap Cami Mahallesi, Galata Mahkemesi Sk. No: 2 Beyoğlu, İstanbul 34421 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Türk, Lokanta, Deniz Mahsülleri, Akdeniz",79,+90 212 255 32 55,125-250,4.0,"Vejetaryen Dostu, Vegan Seçenekleri",187.5,187.5
G Balik,"Kuruceşme Mah. Muallim Naci Cad. No:44 Suada Club, Arnavutköy, Beşiktaş, İstanbul Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",65,2636556,,4.0,"Rezervasyonlar, Açık Havada Oturma, Oturma, Alkol Var, Masaya Servis",187.5,187.5
PizzaLazza,"Saray Mahallesi, Ahmet Tevfik İleri Cad. Müge Ergenç İş Merkezi No:9/8, İstanbul Türkiye,İnternet sitesi,Menü",Pizza,Pizza,4,+90 216 987 24 00,85-284,4.0,"Kahvaltı, Öğle Yemeği",184.5,184.5
Rustyfork,"Nispetiye Caddesi No 64 Etiler Mahallesi, İstanbul 34337 Türkiye,İnternet sitesi,Menü","Amerikan,Cajun ve Creole,Bar","Amerikan, Cajun ve Creole, Bar, Barbekü, Gastropub",21,+90 212 263 10 21,60-300,4.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",180.0,180.0
Hristo Restaurant,"Tarabya Mah. HaydarAliyev. No:170 Tarabya, Sariyer, İstanbul 34457 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Türk, Akdeniz",21,+90 212 262 05 35,120-240,4.0,"Akşam Yemeği, Öğle Yemeği, İçecekler",180.0,180.0
