adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,titleRestaurant
"İnönü Caddesi No: 22/1 Gümüşsuyu, Beyoğlu, İstanbul Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Barbekü,Türk","Akdeniz, Barbekü, Türk, Mangal, Ortadoğu",183 yorum,+90 212 293 67 32,₺282 - ₺846,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Ali Ocakbaşı - Gümüşsuyu
"Meşrutiyet Caddesi No:85 Palazzo Donizetti Kat:7 Pera Palazzo Donizeth Hotel Üst Katı, İstanbul 34400 Türkiye,İnternet sitesi,Menü","$$$$,Akdeniz,Türk,Füzyon","Akdeniz, Türk, Füzyon",411 yorum,+90 212 244 01 88,₺80 - ₺120,"4,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Duble Meze Bar Pera
"Çapariz Sokak No: 16/18 Kumkapı, İstanbul 34130 Türkiye,İnternet sitesi,Menü","$$-$$$,Deniz Mahsülleri,Akdeniz,Avrupa","Deniz Mahsülleri, Akdeniz, Avrupa, Türk",75 yorum,+90 212 517 75 30,₺80 - ₺200,"4,5","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",Çapari Restaurant
"Suadiye Mahallesi, Bağdat Caddesi No: 455/1-B Kadıköy, İstanbul Türkiye,İnternet sitesi","$$-$$$,Fransız,Biftek Restoranı,Afrika","Fransız, Biftek Restoranı, Afrika, Akdeniz, Avrupa, Türk",85 yorum,+90 216 380 00 05,₺353 - ₺1.411,"4,5","Vejetaryen Dostu, Vegan Seçenekleri",Brasserie Noir
"Halaskargazi Mahallesi, Kuyumcu İrfan Sokak No: 3/B Şişli, İstanbul Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Avrupa,Vejetaryen Dostu","Avrupa, Akdeniz",110 yorum,+90 212 296 65 90,₺35 - ₺71,"4,5","Vejetaryen Dostu, Vegan Seçenekleri",Cafe Zone
"Arasta Çarşısı No:45 Sultanahmet, İstanbul Türkiye,İnternet sitesi","$$-$$$,Kafe,Türk,Ortadoğu","Vejetaryen Dostu, Helal",538 yorum,+90 212 518 95 62,"Kafe, Türk, Ortadoğu","4,0","Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",Meşale Cafe
"Harbiye Mh. Taşkışla Caddesi No: 1 Grand Hyatt İstanbul, Şişli, İstanbul 34437 Türkiye,İnternet sitesi,Menü","$$$$,Uluslararası,Akdeniz,Avrupa","Avrupa, Uluslararası, Akdeniz, Türk",93 yorum,+90 212 368 11 78,₺56 - ₺212,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",34 Restaurant
"Peyami Safa Cad. No:38/D Mahmutbey, Bağcılar, İstanbul 34218 Türkiye,İnternet sitesi,Menü","$$-$$$,Türk,Helal",Türk,135 yorum,+90 212 445 55 05,₺10 - ₺120,"4,5",Helal,Seraf Restaurant
"Atıf Yılmaz Cd. 9/A Huseyinağa Mahallesi, İstanbul 34440 Türkiye,İnternet sitesi,Menü","$$-$$$,Uluslararası,Türk,Sağlıklı","Türk, Uluslararası, Sağlıklı",559 yorum,+90 212 293 85 61,₺85 - ₺155,"4,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal",Haci Abdullah Lokantasi
"Alemdar Mahallesi, Divan Yolu Caddesi, Ticarethane Sokak No: 9/B Sultanahmet, İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk, Ortadoğu, Arap",95 yorum,+90 539 406 69 79,₺9 - ₺150,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler, Helal",Mahmiye Restaurant
"Cevizli Mah. Tugay Yolu No:59 Cevizli, Maltepe, İstanbul Türkiye,İnternet sitesi,Menü","$$-$$$,Türk,Helal",Helal,291 yorum,+90 444 1 254,Türk,"4,0","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Donerci Ali Usta
"Kuloğlu Mah. Aga Külhani Sok. No: 12/A Çukurcuma, İstanbul 34433 Türkiye,İnternet sitesi,Menü","$$-$$$,Asya,Tayland,Vejetaryen Dostu","Asya, Tayland",114 yorum,+90 212 251 18 11,₺40 - ₺80,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Az Çok Thai
"Nakkaştepe Yolu. Baba Nakkaş Sok. No: 56 Bağlarbaşı, Üsküdar, İstanbul Türkiye,İnternet sitesi,Menü","$$$$,Türk,Vegan Seçenekleri,Helal",Türk,165 yorum,+90 216 391 95 85,₺5 - ₺80,"4,5","Vegan Seçenekleri, Helal",Bridge Restaurant
"Hoca Paşa, Ebussuud Cd. No:9-2 Fatih, İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",32 yorum,+90 537 336 34 78,₺30 - ₺100,"5,0","Akşam Yemeği, Kahvaltı, Öğle Yemeği",Old Stone House
"Darüssade Sk. No:2 Hoca Paşa Mahallesi, İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Türk",Türk,50 yorum,+90 534 795 71 50,₺49 - ₺120,"5,0","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",Efezade Restaurant
